Country,Posting Date,Brand,Daily Sales
Country 1,02.01.2015,Brand A,"30,785.22"
Country 1,05.01.2015,Brand A,"18,256.02"
Country 1,06.01.2015,Brand A,"24,168.04"
Country 1,07.01.2015,Brand A,"3,858.65"
Country 1,12.01.2015,Brand A,"1,229.33"
Country 1,13.01.2015,Brand A,"42,073.13"
Country 1,14.01.2015,Brand A,"6,773.60"
Country 1,15.01.2015,Brand A,8.36
Country 1,19.01.2015,Brand A,"11,841.73"
Country 1,20.01.2015,Brand A,"21,790.87"
Country 1,21.01.2015,Brand A,"1,591.84"
Country 1,22.01.2015,Brand A,26.88
Country 1,26.01.2015,Brand A,"12,905.00"
Country 1,27.01.2015,Brand A,"44,394.68"
Country 1,28.01.2015,Brand A,"4,393.41"
Country 1,29.01.2015,Brand A,23.79
Country 1,31.01.2015,Brand A,14.02
Country 1,02.02.2015,Brand A,"3,413.82"
Country 1,03.02.2015,Brand A,"18,102.60"
Country 1,04.02.2015,Brand A,"34,573.06"
Country 1,09.02.2015,Brand A,"7,664.01"
Country 1,10.02.2015,Brand A,"30,101.18"
Country 1,11.02.2015,Brand A,"7,016.61"
Country 1,12.02.2015,Brand A,53.48
Country 1,17.02.2015,Brand A,68.34
Country 1,18.02.2015,Brand A,"3,808.33"
Country 1,19.02.2015,Brand A,"30,948.07"
Country 1,23.02.2015,Brand A,"21,551.60"
Country 1,24.02.2015,Brand A,"21,654.28"
Country 1,25.02.2015,Brand A,"5,820.12"
Country 1,26.02.2015,Brand A,42.19
Country 1,02.03.2015,Brand A,"20,066.55"
Country 1,03.03.2015,Brand A,"22,844.46"
Country 1,04.03.2015,Brand A,"6,937.91"
Country 1,09.03.2015,Brand A,"19,658.31"
Country 1,10.03.2015,Brand A,"27,471.62"
Country 1,11.03.2015,Brand A,"5,242.89"
Country 1,16.03.2015,Brand A,"20,894.94"
Country 1,17.03.2015,Brand A,"22,506.20"
Country 1,18.03.2015,Brand A,"5,865.99"
Country 1,19.03.2015,Brand A,24.96
Country 1,23.03.2015,Brand A,"19,939.39"
Country 1,24.03.2015,Brand A,"26,392.41"
Country 1,25.03.2015,Brand A,"3,950.22"
Country 1,26.03.2015,Brand A,66.58
Country 1,30.03.2015,Brand A,"19,485.28"
Country 1,31.03.2015,Brand A,"28,215.23"
Country 1,01.04.2015,Brand A,"7,676.85"
Country 1,02.04.2015,Brand A,8.43
Country 1,06.04.2015,Brand A,"8,491.38"
Country 1,07.04.2015,Brand A,"36,316.33"
Country 1,08.04.2015,Brand A,"6,526.76"
Country 1,09.04.2015,Brand A,8.97
Country 1,13.04.2015,Brand A,91.03
Country 1,14.04.2015,Brand A,"84,258.83"
Country 1,15.04.2015,Brand A,"5,127.82"
Country 1,16.04.2015,Brand A,9.61
Country 1,20.04.2015,Brand A,"31,489.71"
Country 1,21.04.2015,Brand A,"28,294.16"
Country 1,22.04.2015,Brand A,-969.25
Country 1,23.04.2015,Brand A,9.61
Country 1,27.04.2015,Brand A,"1,158.20"
Country 1,28.04.2015,Brand A,"33,483.82"
Country 1,29.04.2015,Brand A,"3,837.46"
Country 1,30.04.2015,Brand A,-261.37
Country 1,04.05.2015,Brand A,"8,296.60"
Country 1,05.05.2015,Brand A,"26,562.38"
Country 1,06.05.2015,Brand A,"9,938.63"
Country 1,07.05.2015,Brand A,26.81
Country 1,11.05.2015,Brand A,"30,169.62"
Country 1,12.05.2015,Brand A,"45,990.63"
Country 1,13.05.2015,Brand A,"7,855.72"
Country 1,14.05.2015,Brand A,26.81
Country 1,18.05.2015,Brand A,"16,829.34"
Country 1,19.05.2015,Brand A,"8,585.02"
Country 1,20.05.2015,Brand A,957.71
Country 1,21.05.2015,Brand A,162.63
Country 1,26.05.2015,Brand A,"56,393.68"
Country 1,27.05.2015,Brand A,"10,240.85"
Country 1,31.05.2015,Brand A,-562.65
Country 1,01.06.2015,Brand A,"25,785.82"
Country 1,02.06.2015,Brand A,"36,618.45"
Country 1,03.06.2015,Brand A,"10,171.75"
Country 1,04.06.2015,Brand A,73.40
Country 1,08.06.2015,Brand A,"25,286.15"
Country 1,09.06.2015,Brand A,"25,427.65"
Country 1,10.06.2015,Brand A,"14,059.99"
Country 1,11.06.2015,Brand A,"26,256.83"
Country 1,15.06.2015,Brand A,"24,593.05"
Country 1,16.06.2015,Brand A,"11,061.83"
Country 1,17.06.2015,Brand A,8.94
Country 1,18.06.2015,Brand A,"1,944.01"
Country 1,22.06.2015,Brand A,"10,252.68"
Country 1,23.06.2015,Brand A,"56,761.07"
Country 1,24.06.2015,Brand A,"-2,322.75"
Country 1,26.06.2015,Brand A,"4,366.90"
Country 1,29.06.2015,Brand A,"17,872.80"
Country 1,30.06.2015,Brand A,"9,052.10"
Country 1,01.07.2015,Brand A,67.01
Country 1,06.07.2015,Brand A,"18,005.02"
Country 1,07.07.2015,Brand A,"15,675.64"
Country 1,08.07.2015,Brand A,"5,804.01"
Country 1,13.07.2015,Brand A,"19,729.31"
Country 1,14.07.2015,Brand A,"23,718.29"
Country 1,15.07.2015,Brand A,"8,448.93"
Country 1,17.07.2015,Brand A,-300.19
Country 1,20.07.2015,Brand A,"2,452.25"
Country 1,21.07.2015,Brand A,"46,247.42"
Country 1,22.07.2015,Brand A,"10,701.81"
Country 1,27.07.2015,Brand A,"19,870.44"
Country 1,28.07.2015,Brand A,"17,796.34"
Country 1,29.07.2015,Brand A,"6,585.61"
Country 1,30.07.2015,Brand A,"9,034.96"
Country 1,31.07.2015,Brand A,7.89
Country 1,03.08.2015,Brand A,"25,604.54"
Country 1,04.08.2015,Brand A,"41,117.07"
Country 1,05.08.2015,Brand A,"7,635.30"
Country 1,06.08.2015,Brand A,150.57
Country 1,10.08.2015,Brand A,"2,646.66"
Country 1,11.08.2015,Brand A,"52,443.32"
Country 1,12.08.2015,Brand A,"7,028.30"
Country 1,17.08.2015,Brand A,"16,954.38"
Country 1,18.08.2015,Brand A,"28,882.58"
Country 1,19.08.2015,Brand A,"4,716.64"
Country 1,20.08.2015,Brand A,9.35
Country 1,24.08.2015,Brand A,"2,759.90"
Country 1,25.08.2015,Brand A,"35,892.00"
Country 1,26.08.2015,Brand A,"17,367.11"
Country 1,31.08.2015,Brand A,"23,659.43"
Country 1,01.09.2015,Brand A,"31,729.04"
Country 1,02.09.2015,Brand A,"7,134.77"
Country 1,03.09.2015,Brand A,65.46
Country 1,08.09.2015,Brand A,"29,493.49"
Country 1,09.09.2015,Brand A,"46,117.70"
Country 1,10.09.2015,Brand A,9.35
Country 1,14.09.2015,Brand A,"16,150.31"
Country 1,15.09.2015,Brand A,"19,879.65"
Country 1,16.09.2015,Brand A,"8,519.30"
Country 1,18.09.2015,Brand A,28.05
Country 1,21.09.2015,Brand A,"20,304.36"
Country 1,22.09.2015,Brand A,"30,592.56"
Country 1,23.09.2015,Brand A,"4,413.93"
Country 1,25.09.2015,Brand A,158.86
Country 1,28.09.2015,Brand A,"22,515.48"
Country 1,29.09.2015,Brand A,"32,220.60"
Country 1,30.09.2015,Brand A,"5,518.66"
Country 1,01.10.2015,Brand A,93.40
Country 1,02.10.2015,Brand A,28.13
Country 1,05.10.2015,Brand A,"25,724.35"
Country 1,06.10.2015,Brand A,"25,007.34"
Country 1,07.10.2015,Brand A,"8,905.42"
Country 1,09.10.2015,Brand A,10.03
Country 1,12.10.2015,Brand A,"28,548.86"
Country 1,13.10.2015,Brand A,"37,572.10"
Country 1,14.10.2015,Brand A,"10,720.35"
Country 1,15.10.2015,Brand A,259.97
Country 1,16.10.2015,Brand A,10.03
Country 1,19.10.2015,Brand A,"26,774.88"
Country 1,20.10.2015,Brand A,"16,899.15"
Country 1,21.10.2015,Brand A,"19,307.41"
Country 1,22.10.2015,Brand A,179.36
Country 1,26.10.2015,Brand A,"37,961.51"
Country 1,27.10.2015,Brand A,"10,568.99"
Country 1,28.10.2015,Brand A,"9,802.55"
Country 1,29.10.2015,Brand A,"-6,353.25"
Country 1,30.10.2015,Brand A,-5.23
Country 1,02.11.2015,Brand A,"24,254.11"
Country 1,03.11.2015,Brand A,"25,364.09"
Country 1,04.11.2015,Brand A,"17,029.93"
Country 1,09.11.2015,Brand A,"22,787.13"
Country 1,10.11.2015,Brand A,"21,847.97"
Country 1,11.11.2015,Brand A,"10,054.91"
Country 1,13.11.2015,Brand A,9.78
Country 1,16.11.2015,Brand A,"22,087.95"
Country 1,17.11.2015,Brand A,"15,298.85"
Country 1,18.11.2015,Brand A,"16,769.00"
Country 1,23.11.2015,Brand A,"21,086.76"
Country 1,24.11.2015,Brand A,"48,392.50"
Country 1,25.11.2015,Brand A,"8,744.26"
Country 1,30.11.2015,Brand A,-936.68
Country 1,01.12.2015,Brand A,"12,749.04"
Country 1,02.12.2015,Brand A,"9,860.87"
Country 1,07.12.2015,Brand A,"25,100.80"
Country 1,08.12.2015,Brand A,"31,061.30"
Country 1,09.12.2015,Brand A,"20,266.29"
Country 1,10.12.2015,Brand A,244.56
Country 1,14.12.2015,Brand A,"27,510.05"
Country 1,15.12.2015,Brand A,"33,872.25"
Country 1,16.12.2015,Brand A,"19,051.66"
Country 1,21.12.2015,Brand A,"16,121.29"
Country 1,22.12.2015,Brand A,"54,378.41"
Country 1,23.12.2015,Brand A,"15,621.23"
Country 1,28.12.2015,Brand A,"12,070.10"
Country 1,29.12.2015,Brand A,"42,273.67"
Country 1,30.12.2015,Brand A,"8,646.22"
Country 1,31.12.2015,Brand A,"-8,423.28"
Country 1,01.01.2016,Brand A,-0.82
Country 1,04.01.2016,Brand A,"16,920.00"
Country 1,05.01.2016,Brand A,"20,181.48"
Country 1,06.01.2016,Brand A,"12,491.16"
Country 1,07.01.2016,Brand A,19.31
Country 1,08.01.2016,Brand A,19.43
Country 1,11.01.2016,Brand A,"24,222.53"
Country 1,12.01.2016,Brand A,"25,811.39"
Country 1,13.01.2016,Brand A,"9,870.82"
Country 1,15.01.2016,Brand A,29.08
Country 1,18.01.2016,Brand A,"29,163.55"
Country 1,19.01.2016,Brand A,"23,337.48"
Country 1,20.01.2016,Brand A,"7,796.58"
Country 1,22.01.2016,Brand A,9.59
Country 1,25.01.2016,Brand A,"15,688.02"
Country 1,26.01.2016,Brand A,"-1,522.42"
Country 1,27.01.2016,Brand A,"8,032.74"
Country 1,28.01.2016,Brand A,143.94
Country 1,29.01.2016,Brand A,-40.61
Country 1,01.02.2016,Brand A,"21,578.23"
Country 1,02.02.2016,Brand A,"18,943.07"
Country 1,03.02.2016,Brand A,"9,168.47"
Country 1,04.02.2016,Brand A,79.74
Country 1,05.02.2016,Brand A,29.91
Country 1,08.02.2016,Brand A,"27,024.99"
Country 1,09.02.2016,Brand A,"30,272.95"
Country 1,10.02.2016,Brand A,"13,128.04"
Country 1,11.02.2016,Brand A,39.87
Country 1,15.02.2016,Brand A,"25,826.76"
Country 1,16.02.2016,Brand A,"25,069.78"
Country 1,17.02.2016,Brand A,"11,406.58"
Country 1,22.02.2016,Brand A,"25,688.06"
Country 1,23.02.2016,Brand A,"25,099.69"
Country 1,24.02.2016,Brand A,"-9,530.11"
Country 1,25.02.2016,Brand A,9.97
Country 1,26.02.2016,Brand A,19.94
Country 1,29.02.2016,Brand A,"24,466.69"
Country 1,01.03.2016,Brand A,"28,737.01"
Country 1,02.03.2016,Brand A,"14,018.58"
Country 1,03.03.2016,Brand A,338.91
Country 1,07.03.2016,Brand A,"24,697.40"
Country 1,08.03.2016,Brand A,"36,081.09"
Country 1,09.03.2016,Brand A,"13,029.92"
Country 1,11.03.2016,Brand A,109.65
Country 1,14.03.2016,Brand A,"-3,450.16"
Country 1,15.03.2016,Brand A,"48,524.13"
Country 1,16.03.2016,Brand A,"13,335.68"
Country 1,17.03.2016,Brand A,229.26
Country 1,18.03.2016,Brand A,89.25
Country 1,21.03.2016,Brand A,"20,216.96"
Country 1,22.03.2016,Brand A,"23,503.88"
Country 1,23.03.2016,Brand A,"14,681.02"
Country 1,25.03.2016,Brand A,"-5,862.29"
Country 1,28.03.2016,Brand A,"21,584.61"
Country 1,29.03.2016,Brand A,"33,347.54"
Country 1,30.03.2016,Brand A,"13,674.05"
Country 1,31.03.2016,Brand A,"-3,578.43"
Country 1,04.04.2016,Brand A,"25,153.05"
Country 1,05.04.2016,Brand A,"26,648.31"
Country 1,06.04.2016,Brand A,"12,470.94"
Country 1,11.04.2016,Brand A,"27,624.27"
Country 1,12.04.2016,Brand A,"27,226.49"
Country 1,13.04.2016,Brand A,"11,503.94"
Country 1,14.04.2016,Brand A,38.64
Country 1,15.04.2016,Brand A,19.32
Country 1,18.04.2016,Brand A,"24,497.09"
Country 1,19.04.2016,Brand A,"36,431.28"
Country 1,20.04.2016,Brand A,"12,164.82"
Country 1,21.04.2016,Brand A,57.98
Country 1,25.04.2016,Brand A,"22,558.46"
Country 1,26.04.2016,Brand A,"22,760.84"
Country 1,27.04.2016,Brand A,"15,627.85"
Country 1,28.04.2016,Brand A,-577.90
Country 1,29.04.2016,Brand A,94.08
Country 1,02.05.2016,Brand A,"23,690.89"
Country 1,03.05.2016,Brand A,"27,075.69"
Country 1,04.05.2016,Brand A,"8,336.35"
Country 1,06.05.2016,Brand A,28.98
Country 1,09.05.2016,Brand A,"26,794.96"
Country 1,10.05.2016,Brand A,"33,861.57"
Country 1,11.05.2016,Brand A,"16,403.70"
Country 1,13.05.2016,Brand A,10.05
Country 1,16.05.2016,Brand A,"29,113.73"
Country 1,17.05.2016,Brand A,"30,355.01"
Country 1,18.05.2016,Brand A,"14,455.48"
Country 1,19.05.2016,Brand A,10.05
Country 1,23.05.2016,Brand A,"21,846.10"
Country 1,24.05.2016,Brand A,"35,719.39"
Country 1,25.05.2016,Brand A,"13,626.26"
Country 1,26.05.2016,Brand A,"37,440.69"
Country 1,27.05.2016,Brand A,20.10
Country 1,31.05.2016,Brand A,"17,457.96"
Country 1,01.06.2016,Brand A,"28,382.43"
Country 1,06.06.2016,Brand A,"10,689.65"
Country 1,07.06.2016,Brand A,"21,483.62"
Country 1,08.06.2016,Brand A,"18,262.23"
Country 1,09.06.2016,Brand A,63.54
Country 1,13.06.2016,Brand A,"22,515.30"
Country 1,14.06.2016,Brand A,"28,435.67"
Country 1,15.06.2016,Brand A,"12,148.97"
Country 1,16.06.2016,Brand A,10.59
Country 1,20.06.2016,Brand A,"28,260.30"
Country 1,21.06.2016,Brand A,"28,919.77"
Country 1,22.06.2016,Brand A,"14,074.92"
Country 1,23.06.2016,Brand A,"11,835.85"
Country 1,27.06.2016,Brand A,"25,356.68"
Country 1,28.06.2016,Brand A,"24,726.18"
Country 1,29.06.2016,Brand A,"13,886.01"
Country 1,30.06.2016,Brand A,"2,981.24"
Country 1,05.07.2016,Brand A,"54,052.12"
Country 1,06.07.2016,Brand A,"21,915.85"
Country 1,07.07.2016,Brand A,147.97
Country 1,11.07.2016,Brand A,"19,895.54"
Country 1,12.07.2016,Brand A,"26,898.84"
